time,temperature_2m_ukmo_seamless (°C),precipitation_ukmo_seamless (mm),temperature_2m_ukmo_global_deterministic_10km (°C),precipitation_ukmo_global_deterministic_10km (mm),temperature_2m_ukmo_uk_deterministic_2km (°C),precipitation_ukmo_uk_deterministic_2km (mm)
2026-02-22 00:00:00,11.9,90,0.00,0.00,0.00,11.6
2026-02-22 01:00:00,11.8,90,0.00,0.00,0.00,11.8
2026-02-22 02:00:00,12.1,88,0.00,0.00,0.00,11.8
2026-02-22 03:00:00,12.2,87,0.00,0.00,0.00,11.8
2026-02-22 04:00:00,12.0,89,0.00,0.00,0.00,11.8
2026-02-22 05:00:00,11.7,93,0.30,0.30,0.00,11.9
2026-02-22 06:00:00,11.6,93,0.10,0.10,0.00,11.6
2026-02-22 07:00:00,11.7,93,0.40,0.40,0.00,11.5
2026-02-22 08:00:00,11.9,91,0.20,0.20,0.00,11.6
2026-02-22 09:00:00,12.0,93,0.80,0.80,0.00,11.8
2026-02-22 10:00:00,12.2,91,0.30,0.30,0.00,11.9
2026-02-22 11:00:00,12.6,89,0.00,0.00,0.00,12.2
2026-02-22 12:00:00,13.1,80,0.00,0.00,0.00,13.0
2026-02-22 13:00:00,13.3,75,0.00,0.00,0.00,12.9
2026-02-22 14:00:00,13.6,72,0.00,0.00,0.00,12.9
2026-02-22 15:00:00,13.9,65,0.00,0.00,0.00,13.2
2026-02-22 16:00:00,13.9,63,0.00,0.00,0.00,13.1
2026-02-22 17:00:00,13.4,62,0.00,0.00,0.00,12.9
2026-02-22 18:00:00,12.8,67,0.00,0.00,0.00,12.3
2026-02-22 19:00:00,12.3,72,0.00,0.00,0.00,11.9
2026-02-22 20:00:00,11.3,81,0.00,0.00,0.00,11.1
2026-02-22 21:00:00,10.8,83,0.00,0.00,0.00,10.6
2026-02-22 22:00:00,10.2,84,0.00,0.00,0.00,10.2
2026-02-22 23:00:00,10.0,82,0.00,0.00,0.00,9.9
2026-02-23 00:00:00,9.5,81,0.00,0.00,0.00,9.3
2026-02-23 01:00:00,9.1,81,0.00,0.00,0.00,9.1
2026-02-23 02:00:00,9.2,81,0.00,0.00,0.00,8.9
2026-02-23 03:00:00,9.2,81,0.00,0.00,0.00,8.9
2026-02-23 04:00:00,9.2,80,0.00,0.00,0.00,8.9
2026-02-23 05:00:00,9.0,80,0.00,0.00,0.00,9.0
2026-02-23 06:00:00,9.0,82,0.00,0.00,0.00,8.6
2026-02-23 07:00:00,9.1,78,0.00,0.00,0.00,8.5
2026-02-23 08:00:00,9.4,79,0.00,0.00,0.00,8.6
2026-02-23 09:00:00,9.8,75,0.00,0.00,0.00,9.1
2026-02-23 10:00:00,10.6,73,0.00,0.00,0.00,9.7
2026-02-23 11:00:00,11.4,69,0.00,0.00,0.00,10.2
2026-02-23 12:00:00,12.1,64,0.00,0.00,0.00,10.5
2026-02-23 13:00:00,12.6,61,0.00,0.00,0.00,11.4
2026-02-23 14:00:00,13.1,62,0.00,0.00,0.00,12.6
2026-02-23 15:00:00,13.2,60,0.00,0.00,0.00,12.9
