dt,price
2026-02-23 16:00:00,94.98
2026-02-23 17:00:00,113.82
2026-02-23 18:00:00,117.72
2026-02-23 19:00:00,113.1
2026-02-23 20:00:00,98.8
2026-02-23 21:00:00,89.21
2026-02-23 22:00:00,88.26
2026-02-23 23:00:00,88.52
2026-02-24 00:00:00,86.9
2026-02-24 01:00:00,82.59
2026-02-24 02:00:00,78.44
2026-02-24 03:00:00,75.1
2026-02-24 04:00:00,74.02
2026-02-24 05:00:00,79.44
2026-02-24 06:00:00,88.86
2026-02-24 07:00:00,101.0
2026-02-24 08:00:00,108.11
2026-02-24 09:00:00,99.74
2026-02-24 10:00:00,90.61
2026-02-24 11:00:00,84.84
2026-02-24 12:00:00,79.51
2026-02-24 13:00:00,79.17
2026-02-24 14:00:00,78.78
2026-02-24 15:00:00,86.27
2026-02-24 16:00:00,92.34
2026-02-24 17:00:00,109.22
2026-02-24 18:00:00,113.19
2026-02-24 19:00:00,107.34
2026-02-24 20:00:00,91.48
2026-02-24 21:00:00,87.73
2026-02-24 22:00:00,83.34
2026-02-24 23:00:00,79.14
2026-02-25 00:00:00,81.12
2026-02-25 01:00:00,80.38
2026-02-25 02:00:00,79.75
2026-02-25 03:00:00,80.39
2026-02-25 04:00:00,81.18
2026-02-25 05:00:00,88.31
2026-02-25 06:00:00,104.11
2026-02-25 07:00:00,111.82
2026-02-25 08:00:00,101.05
2026-02-25 09:00:00,91.16
2026-02-25 10:00:00,82.03
2026-02-25 11:00:00,75.15
2026-02-25 12:00:00,76.35
2026-02-25 13:00:00,77.22
2026-02-25 14:00:00,79.43
2026-02-25 15:00:00,87.48
2026-02-25 16:00:00,103.95
2026-02-25 17:00:00,115.66
2026-02-25 18:00:00,111.88
2026-02-25 19:00:00,98.2
2026-02-25 20:00:00,85.63
2026-02-25 21:00:00,83.97
2026-02-25 22:00:00,78.16
2026-02-25 23:00:00,77.15
2026-02-26 00:00:00,76.77
2026-02-26 01:00:00,74.51
2026-02-26 02:00:00,70.19
2026-02-26 03:00:00,68.65
2026-02-26 04:00:00,68.03
2026-02-26 05:00:00,74.51
2026-02-26 06:00:00,95.07
2026-02-26 07:00:00,97.64
2026-02-26 08:00:00,94.56
2026-02-26 09:00:00,89.86
2026-02-26 10:00:00,77.92
2026-02-26 11:00:00,72.91
2026-02-26 12:00:00,69.43
2026-02-26 13:00:00,69.74
2026-02-26 14:00:00,70.01
2026-02-26 15:00:00,80.24
2026-02-26 16:00:00,89.9
2026-02-26 17:00:00,101.27
2026-02-26 18:00:00,101.43
2026-02-26 19:00:00,95.69
2026-02-26 20:00:00,87.31
2026-02-26 21:00:00,83.88
2026-02-26 22:00:00,78.91
2026-02-26 23:00:00,59.85
2026-02-27 00:00:00,64.01
2026-02-27 01:00:00,64.2
2026-02-27 02:00:00,63.48
2026-02-27 03:00:00,64.07
2026-02-27 04:00:00,66.79
2026-02-27 05:00:00,77.44
2026-02-27 06:00:00,89.49
2026-02-27 07:00:00,83.34
2026-02-27 08:00:00,86.94
2026-02-27 09:00:00,95.19
2026-02-27 10:00:00,90.35
2026-02-27 11:00:00,87.05
2026-02-27 12:00:00,85.0
2026-02-27 13:00:00,85.45
2026-02-27 14:00:00,83.83
2026-02-27 15:00:00,89.76
2026-02-27 16:00:00,100.18
2026-02-27 17:00:00,108.19
2026-02-27 18:00:00,104.23
2026-02-27 19:00:00,100.57
2026-02-27 20:00:00,91.13
2026-02-27 21:00:00,85.86
2026-02-27 22:00:00,83.5
2026-02-27 23:00:00,84.44
2026-02-28 00:00:00,83.96
2026-02-28 01:00:00,82.12
2026-02-28 02:00:00,78.45
2026-02-28 03:00:00,75.72
2026-02-28 04:00:00,75.12
2026-02-28 05:00:00,76.07
2026-02-28 06:00:00,81.92
2026-02-28 07:00:00,87.47
2026-02-28 08:00:00,95.36
2026-02-28 09:00:00,96.47
2026-02-28 10:00:00,91.12
2026-02-28 11:00:00,83.05
